PMID,Subtype,Off_target_1_accumulation_(%),Off_target_1_accumulation
26995092,Iron_oxide,130.6360182,Spleen
26998895,Silica,NA,NA
27016140,Hybrid,NA,NA
27025546,Silica,NA,NA
27031226,Iron_oxide,NA,NA
27035391,Iron_oxide,NA,NA
27039688,Gold,185.2,Liver
27043769,Gold,NA,NA
27045357,Iron_oxide,NA,NA
27064259,Gold,NA,NA
27070992,Gold,117.3,Liver
27071335,Iron_oxide,NA,NA
27089478,Gold,348.6,Lung
27090165,Iron_oxide,121.1201867,Liver
27109431,Iron_oxide,219.0730838,Liver
27151564,Silica,NA,NA
27162075,Silica,NA,NA
27236844,Gold,NA,NA
27244691,Gold,NA,NA
27271875,Silica,NA,NA
27294601,Gold,NA,NA
27310916,Iron_oxide,NA,NA
27356586,Gold,NA,NA
27376560,Silica,NA,NA
27381000,Gold,2625,Spleen
27396404,Iron_oxide,NA,NA
27412458,Gold,365.6,Spleen
27420116,Silica,NA,NA
27428929,Iron_oxide,222.8571429,Liver
27434031,Gold,526.5,Spleen
27441571,Silica,NA,NA
27449744,Iron_oxide,404.4169611,Spleen
27449950,Gold,NA,NA
27487574,Iron_oxide,NA,NA
27513184,Iron_oxide,69.21352759,Liver
27541372,Iron_oxide,262.1428571,Spleen
27543919,Iron_oxide,NA,NA
27552319,Gold,17.8,Liver
27573135,Iron_oxide,461.038961,Spleen
27576159,Gold,537.9,Spleen
27590214,Gold,NA,NA
27614161,Iron_oxide,NA,NA
27619078,Silica,NA,NA
27619238,Gold,NA,NA
27622711,Iron_oxide,NA,NA
27643533,Gold,26.7,Liver
27657487,Silica,NA,NA
27668795,Iron_oxide,NA,NA
27672010,Gold,63.6,Liver
27714144,Iron_oxide,NA,NA
27731621,Hybrid,NA,NA
27738498,Iron_oxide,47.78820375,Liver
27758098,Gold,29.6,Spleen
27786323,Gold,NA,NA
27793687,Iron_oxide,NA,Liver
27837682,Iron_oxide,NA,NA
27862808,Hybrid,NA,NA
27871990,Gold,NA,NA
27874119,Silica,24.1,Liver
27879041,Silica,NA,Liver
27882633,Gold,NA,NA
27910990,Silica,NA,NA
27921316,Gold,NA,NA
27933825,Hybrid,NA,NA
27934068,Gold,NA,NA
27934080,Iron_oxide,NA,Liver
27936417,Silica,NA,NA
27936561,Silica,NA,NA
27939904,Gold,NA,NA
27960458,Iron_oxide,NA,NA
27991503,Gold,NA,NA
27997794,Silica,NA,NA
28005331,Iron_oxide,194.2833985,Liver
28024382,Gold,57.2,Kidney
28045496,Iron_oxide,344.0298507,Liver
28049064,Gold,33,Liver
28068066,Gold,2291.2,Liver
28094297,Gold,NA,NA
28107631,Gold,124.5,Liver
28118704,Hybrid,1280.7,Spleen
28131043,Silica,1.3,Liver
28134383,Gold,NA,NA
28145723,Silica,43,Kidney
28150848,Iron_oxide,109.4890511,Liver
28152380,Gold,NA,NA
28186215,Iron_oxide,NA,NA
28187393,Iron_oxide,NA,NA
28206771,Iron_oxide,NA,Liver
28256824,Iron_oxide,NA,Liver
28263051,Gold,81.06,Liver
28272874,Iron_oxide,355.1208285,Spleen
28279919,Iron_oxide,631.9900291,Spleen
28285157,Iron_oxide,NA,NA
28295679,Gold,NA,NA
28320205,Silica,NA,NA
28323295,Gold,126.7,Liver
28325685,Silica,NA,NA
28336375,Iron_oxide,77.52911624,Liver
28363770,Silica,NA,NA
28370987,Silica,NA,NA
28371376,Gold,23.8,Kidney
28398453,Silica,60.3,Liver
28399459,Iron_oxide,NA,NA
28402594,Iron_oxide,NA,NA
28426929,Iron_oxide,NA,Kidney
28460158,Gold,394.6,Liver
28470979,Iron_oxide,NA,NA
28497681,Silica,NA,Liver
28503686,Silica,NA,NA
28557433,Gold,NA,NA
28569328,Gold,1303,Liver
28582716,Gold,25.2,Liver
28590113,Silica,NA,Liver
28594473,Silica,NA,Liver
28605594,Gold,44.92,Liver
28618345,Silica,NA,Liver
28625045,Iron_oxide,NA,NA
28660943,Silica,NA,NA
28666098,Gold,NA,NA
28673852,Silica,NA,NA
28732245,Iron_oxide,128.6549708,Kidney
28737290,Silica,NA,NA
28737393,Silica,NA,NA
28741689,Gold,NA,NA
28749498,Silica,NA,NA
28755539,Silica,NA,NA
28786462,Iron_oxide,NA,NA
28787664,Silica,NA,NA
28789518,Hybrid,NA,NA
28809413,Gold,NA,NA
28816044,Gold,385.4,Liver
28829476,Hybrid,NA,NA
28836433,Silica,NA,NA
28842375,Silica,22,Kidney
28849917,Gold,NA,NA
28850218,Gold,134.9,Liver
28901139,Iron_oxide,NA,NA
28902490,Silica,NA,NA
28953351,Gold,84.4,Liver
28991294,Gold,NA,NA
28992509,Gold,NA,NA
28994849,Gold,NA,NA
29022987,Silica,NA,NA
29030222,Iron_oxide,NA,NA
29030225,Gold,NA,NA
29058865,Silica,2.5,Liver
29072767,Gold,NA,NA
29085938,Silica,NA,Liver
29111150,Iron_oxide,NA,NA
29111494,Iron_oxide,NA,NA
29113793,Gold,2727.8,Spleen
29125675,Gold,NA,NA
29125688,Hybrid,NA,Liver
29128843,Silica,NA,NA
29140684,Hybrid,188.6,Spleen
29196180,Gold,NA,NA
29200260,Hybrid,268.6922061,Spleen
29232142,Iron_oxide,NA,NA
29237264,Iron_oxide,NA,Liver
29251910,Gold,NA,NA
29266476,Silica,NA,NA
